TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,124,1230.1260759,3.9560184479,3.7676353455,0.18838310242
BATT_MODEL_RAW:,125,1240.1265677,3.9545288086,3.7662220001,0.18830680847
BATT_MODEL_RAW:,126,1250.1267244,3.9530467987,3.7649974823,0.18804931641
BATT_MODEL_RAW:,127,1260.1270916,3.9515705109,3.7636451721,0.18792533875
BATT_MODEL_RAW:,128,1270.1272993,3.9501628876,3.7624759674,0.18768692017
BATT_MODEL_RAW:,129,1280.1278516,3.9485874176,3.7610664368,0.18752098083
BATT_MODEL_RAW:,130,1290.1287608,3.9471302032,3.7595767975,0.18755340576
BATT_MODEL_RAW:,131,1300.1290559,3.9457263947,3.7580509186,0.18767547607
BATT_MODEL_RAW:,132,1310.1295808,3.9442367554,3.7564506531,0.18778610229
BATT_MODEL_RAW:,133,1320.1300146,3.9427814484,3.754825592,0.18795585632
BATT_MODEL_RAW:,134,1330.1310061,3.9412136078,3.7533321381,0.18788146973
BATT_MODEL_RAW:,135,1340.1311909,3.9398365021,3.7520942688,0.18774223328
BATT_MODEL_RAW:,136,1350.1314688,3.9383583069,3.7507305145,0.18762779236
BATT_MODEL_RAW:,137,1360.1320154,3.9368152618,3.7491817474,0.1876335144
BATT_MODEL_RAW:,138,1370.1323078,3.9353561401,3.7475223541,0.18783378601
BATT_MODEL_RAW:,139,1380.1333796,3.9338798523,3.7460193634,0.18786048889
BATT_MODEL_RAW:,140,1390.134544,3.9324913025,3.7445220947,0.18796920776
BATT_MODEL_RAW:,141,1400.1350823,3.9309425354,3.742811203,0.1881313324
BATT_MODEL_RAW:,142,1410.1353242,3.9294834137,3.7411327362,0.18835067749
BATT_MODEL_RAW:,143,1420.1364242,3.9280185699,3.7390861511,0.18893241882
BATT_MODEL_RAW:,144,1430.1368941,3.926612854,3.7375202179,0.18909263611
BATT_MODEL_RAW:,145,1440.1374999,3.9250926971,3.7359104156,0.18918228149
BATT_MODEL_RAW:,146,1450.1385187,3.923658371,3.7350311279,0.18862724304
BATT_MODEL_RAW:,147,1460.1389116,3.9222011566,3.7339096069,0.18829154968
BATT_MODEL_RAW:,148,1470.1392986,3.9207458496,3.7322006226,0.18854522705
BATT_MODEL_RAW:,149,1480.1399008,3.9192848206,3.7303943634,0.18889045715
BATT_MODEL_RAW:,150,1490.140121,3.9178333282,3.7288284302,0.18900489807
BATT_MODEL_RAW:,151,1500.141015,3.91639328,3.7268924713,0.18950080872
BATT_MODEL_RAW:,152,1510.1420501,3.9149494171,3.7252426147,0.18970680237
BATT_MODEL_RAW:,153,1520.1424857,3.913520813,3.7238273621,0.18969345093
BATT_MODEL_RAW:,154,1530.1428878,3.9120788574,3.7223129272,0.18976593018
BATT_MODEL_RAW:,155,1540.1438171,3.9107017517,3.7207527161,0.18994903564
BATT_MODEL_RAW:,156,1550.144328,3.9091949463,3.7194442749,0.18975067139
BATT_MODEL_RAW:,157,1560.14454,3.9077682495,3.7179260254,0.18984222412
BATT_MODEL_RAW:,158,1570.1450214,3.9063777924,3.7167663574,0.18961143494
BATT_MODEL_RAW:,159,1580.1455874,3.9048843384,3.7153244019,0.18955993652
BATT_MODEL_RAW:,160,1590.1457759,3.903459549,3.713924408,0.18953514099
BATT_MODEL_RAW:,161,1600.1460267,3.9020442963,3.7127037048,0.18934059143
BATT_MODEL_RAW:,162,1610.1468302,3.9006137848,3.7115974426,0.18901634216
BATT_MODEL_RAW:,163,1620.1479299,3.8992595673,3.7103500366,0.18890953064
BATT_MODEL_RAW:,164,1630.1482598,3.8978424072,3.7091140747,0.18872833252
BATT_MODEL_RAW:,165,1640.1488333,3.8963336945,3.7073097229,0.18902397156
BATT_MODEL_RAW:,166,1650.1496371,3.894985199,3.7057723999,0.18921279907
BATT_MODEL_RAW:,167,1660.1508104,3.8935031891,3.7042236328,0.18927955627
BATT_MODEL_RAW:,168,1670.1512314,3.8920898438,3.70287323,0.18921661377
BATT_MODEL_RAW:,169,1680.1517068,3.8906669617,3.7014045715,0.18926239014
BATT_MODEL_RAW:,170,1690.1525194,3.889257431,3.6995849609,0.18967247009
BATT_MODEL_RAW:,171,1700.152946,3.8878517151,3.6978263855,0.19002532959
BATT_MODEL_RAW:,172,1710.1537267,3.8864307404,3.6959152222,0.19051551819
BATT_MODEL_RAW:,173,1720.1546401,3.8850917816,3.6940574646,0.19103431702
BATT_MODEL_RAW:,174,1730.1555115,3.8837089539,3.6920394897,0.19166946411
BATT_MODEL_RAW:,175,1740.1564768,3.8823013306,3.6903572083,0.19194412231
